player_id,name,season,position,shirt_num,nationality,age,team_name,team_short_name,mins_played,goals,assists,clean_sheets,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_freekick_cross,accurate_fwd_zone_pass,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_attempt_saved,assist_blocked_shot,assist_free_kick_won,assist_handball_won,assist_own_goal,assist_pass_lost,assist_penalty_won,assist_post,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_high_left,att_cmiss_high_right,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_centre,att_lg_left,att_lg_right,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_post,att_obox_target,att_obp_goal,att_obx_centre,att_obx_left,att_obx_right,att_obxd_left,att_obxd_right,att_one_on_one,att_openplay,att_pen_goal,att_pen_miss,att_pen_post,att_pen_target,att_post_high,att_post_left,att_post_right,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,bonus,challenge_lost,clean_sheet,clearance_off_line,corner_taken,cross_not_claimed,crosses_18yard,crosses_18yardplus,dangerous_play,date_of_birth,dispossessed,dive_catch,dive_save,diving_save,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,foul_throw_in,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,gk_smother,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,goal_fastbreak,goal_kicks,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,good_high_claim,hand_ball,head_clearance,head_pass,height,hit_woodwork,image_url,interception,interception_won,interceptions_in_box,keeper_pick_up,keeper_throws,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,nationality_code,offside_provoked,offsides,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goals,passes_left,passes_right,pen_area_entries,pen_goals_conceded,penalty_conceded,penalty_faced,penalty_save,penalty_won,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,punches,put_through,red_card,red_cards,rightside_pass,saved_ibox,saved_obox,saves,second_goal_assist,second_yellow,shield_ball_oop,shot_fastbreak,shot_off_target,six_yard_block,stand_catch,stand_save,sub_off,sub_on,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,team_abbr,team_id,team_slug,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_high_claim,total_keeper_sweeper,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,weight,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card
1870,Lee Grant,2021-2022,Goalkeeper,13,England,42 years 111 days,Manchester United,Man Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12474E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,James Milner,2021-2022,Left/Centre/Right Central Midfielder,6,England,39 years 134 days,Brighton & Hove Albion,Brighton,850,,,,258,19,6,13,7,2,1,359,,,,1,4,27,604,,2,29,10,13,24,,,,,,,,,17,4,1,,1,,,,1,,2,,,,,,,,,,,,,,,,,,1,,1,,,,1,4,,,,,,,5,,2,,4,,2,,8,,,,,,6,,,,,,,,,1,6,2,,,,,2,,12,54,28,2,8,106,72,2,,,1,30,3,,17,2,,14,,16,12,,5.05181E+11,5,,,,3,52,57,1,19,12,,,38,99,,3,17,5,234,9,,1,,1,1,,,,6,5,1,,,1,12,35,,,,17,17,1,,,,191,77,49,1,2,GB-ENG,1,,7,15,2,687,5,,,108,121,55,,,,,,152,152,17,24,31,,,30,,,171,,,,,,1,,5,,,,,,19,179,590,14,BHA,131,,9,22,280,40,19,6,10,43,33,,230,2,465,,,8,4,47,,702,2,10,5,15,28,2,30,929,13,12,12,14,,0,20,2,4,16,2
2214,Robert Elliot,2021-2022,Goalkeeper,37,Ireland,39 years 18 days,Gateshead,Gateshead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15203E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAT,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,Darren Randolph,2021-2022,Goalkeeper,12,Ireland,38 years 6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47776E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,Scott Carson,2021-2022,Goalkeeper,33,England,39 years 257 days,Manchester City,Man City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94554E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCI,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,Aaron Lennon,2021-2022,Right Winger,17,England,38 years 32 days,Burnley,Burnley,1548,2,,,92,6,,3,3,4,,158,,,,4,5,7,247,,,2,21,7,28,,,,,1,,,,9,,5,2,1,,,1,,,2,,,,,,,,1,,,1,,,,,,,4,2,1,,1,,,2,,1,,,,1,2,1,,,3,,1,,3,,,,,,10,,,,,,,,2,2,10,,,,,2,,,14,165,97,8,4,110,73,,,1,6,41,4,,24,2,,2,,33,5,,5.4553E+11,13,,,,10,94,73,6,8,,,,36,29,,8,19,,85,17,,,,,,,,,25,21,4,2,,,,23,,,,9,9,,,,,87,10,4,12,6,GB-ENG,,,2,7,4,332,4,3,,14,117,27,3,1,,,,188,188,10,26,37,,,41,,,54,,,,,,,,4,,,,,,19,81,243,22,BUR,43,,30,9,118,16,8,30,2,40,38,,132,8,258,,,17,8,22,4,336,1,12,9,11,33,,3,601,48,25,25,20,,0,6,13,22,17,2
2508,Kasper Schmeichel,2021-2022,Goalkeeper,1,Denmark,38 years 194 days,Celtic,Celtic,3330,,,,674,152,,,,0,,109,213,15,161,44,1,264,783,,,1,4,10,37,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,171,,,0,285,,,,,,,,2,7,,,0,,,,5.31533E+11,,1,26,61,10,6,12,,27,,1,1,,108,,,,,578,37,3,,,,,,,291,58,50,8,,13,,,0,,,,1,1,1,227,166,,279,344,108,14,24,DK,,,,1,,630,,,,101,112,4,7,,9,2,,351,351,,44,1,,12,,,,266,91,39,131,,,,,,,2,7,,,,28,480,,CEL,53,,0,1,778,277,27,1,,,,,108,0,345,15,15,156,1,592,,1123,,,,,0,,1,1476,,2,2,2,,0,13,1,,,2
2517,Phil Bardsley,2021-2022,Right Full Back,27,Scotland,39 years 324 days,Stockport County,Stockport County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88765E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPT,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,Cristiano Ronaldo,2021-2022,Forward,7,Portugal,40 years 102 days,Al-Nassr,Nassr,2458,18,,,228,14,,1,1,6,,493,,,,2,53,15,720,0,1,5,68,42,30,,,,,,,,,23,,45,16,14,3,,1,3,3,12,5,1,2,,1,8,2,1,2,6,6,1,2,10,1,3,18,20,15,29,2,22,2,9,32,,,,12,1,1,7,14,10,3,6,,3,,22,,,,,2,85,3,,,,1,1,,14,13,60,2,3,,0,16,5,1,9,230,146,88,22,290,52,7,13,12,,33,30,,4,6,,,,13,2,,4.7641E+11,30,,,,7,129,88,,29,27,,,62,65,,6,16,,140,27,,3,,2,3,,,,41,34,7,12,,1,27,67,,2,,2,2,,,,,202,29,15,9,1,PT,,,7,19,43,851,0,5,,156,104,37,3,,,,2,275,275,14,17,21,2,,33,,,247,,,,,,,5,37,4,,,,,25,292,692,8,NSR,4075,,42,26,268,22,29,32,,15,15,6,366,22,626,,,4,58,20,33,879,0,110,6,3,8,2,7,1237,182,50,50,18,,7,14,20,20,6,8
2537,Asmir Begovic,2021-2022,Goalkeeper,31,Bosnia & Herzegovina,37 years 332 days,Everton,Everton,270,,,,17,3,,,,,,18,18,1,4,3,,20,35,,,,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,26,,,,20,,,,,0,,,,1,,,,,,,5.51146E+11,,,5,7,,0,5,,6,,,,,13,,,,,64,3,,,,,,,,31,8,8,,,2,,,1,,,,,,,16,5,,11,56,18,2,5,BA,,,,,,29,,,,9,2,1,1,,1,,,46,46,,2,,,3,1,,,5,7,4,11,,,,,,,1,,,,,3,7,,EVE,7,,0,,24,7,6,,,,,,13,,56,3,1,23,,64,,80,,,,,,,,106,,,,,,0,1,,,,
